Date,Extent,Year, Month, Day,     Extent_,    Missing, Source Data,hemisphere
12/1/78,12.725,1978,12,1,12.725,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781201_n07_v1.1_n.bin'],north
12/3/78,12.66,1978,12,3,12.66,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781203_n07_v1.1_n.bin'],north
12/5/78,12.785,1978,12,5,12.785,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781205_n07_v1.1_n.bin'],north
12/7/78,13.051,1978,12,7,13.051,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781207_n07_v1.1_n.bin'],north
12/9/78,13.143,1978,12,9,13.143,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781209_n07_v1.1_n.bin'],north
12/11/78,13.437,1978,12,11,13.437,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781211_n07_v1.1_n.bin'],north
12/13/78,13.603,1978,12,13,13.603,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781213_n07_v1.1_n.bin'],north
12/15/78,13.649,1978,12,15,13.649,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781215_n07_v1.1_n.bin'],north
12/17/78,13.807,1978,12,17,13.807,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781217_n07_v1.1_n.bin'],north
12/19/78,13.892,1978,12,19,13.892,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781219_n07_v1.1_n.bin'],north
12/21/78,13.996,1978,12,21,13.996,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781221_n07_v1.1_n.bin'],north
12/23/78,14.189,1978,12,23,14.189,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781223_n07_v1.1_n.bin'],north
12/25/78,14.268,1978,12,25,14.268,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781225_n07_v1.1_n.bin'],north
12/27/78,14.383,1978,12,27,14.383,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781227_n07_v1.1_n.bin'],north
12/29/78,14.5,1978,12,29,14.5,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781229_n07_v1.1_n.bin'],north
12/31/78,14.585,1978,12,31,14.585,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781231_n07_v1.1_n.bin'],north
1/2/79,14.997,1979,1,2,14.997,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790102_n07_v1.1_n.bin'],north
1/4/79,14.922,1979,1,4,14.922,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790104_n07_v1.1_n.bin'],north
1/6/79,14.929,1979,1,6,14.929,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790106_n07_v1.1_n.bin'],north
1/8/79,14.968,1979,1,8,14.968,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790108_n07_v1.1_n.bin'],north
1/10/79,15.19,1979,1,10,15.19,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790110_n07_v1.1_n.bin'],north
1/12/79,15.327,1979,1,12,15.327,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790112_n07_v1.1_n.bin'],north
1/14/79,15.352,1979,1,14,15.352,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790114_n07_v1.1_n.bin'],north
1/16/79,15.5,1979,1,16,15.5,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790116_n07_v1.1_n.bin'],north
1/18/79,15.517,1979,1,18,15.517,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790118_n07_v1.1_n.bin'],north
1/20/79,15.709,1979,1,20,15.709,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790120_n07_v1.1_n.bin'],north
1/22/79,15.679,1979,1,22,15.679,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790122_n07_v1.1_n.bin'],north
1/24/79,15.745,1979,1,24,15.745,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790124_n07_v1.1_n.bin'],north
1/26/79,15.686,1979,1,26,15.686,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790126_n07_v1.1_n.bin'],north
1/28/79,15.777,1979,1,28,15.777,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790128_n07_v1.1_n.bin'],north
1/30/79,15.912,1979,1,30,15.912,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790130_n07_v1.1_n.bin'],north
2/1/79,15.857,1979,2,1,15.857,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790201_n07_v1.1_n.bin'],north
2/3/79,15.839,1979,2,3,15.839,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790203_n07_v1.1_n.bin'],north
2/5/79,15.831,1979,2,5,15.831,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790205_n07_v1.1_n.bin'],north
2/7/79,15.801,1979,2,7,15.801,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790207_n07_v1.1_n.bin'],north
2/9/79,15.99,1979,2,9,15.99,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790209_n07_v1.1_n.bin'],north
2/11/79,16.099,1979,2,11,16.099,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790211_n07_v1.1_n.bin'],north
2/13/79,16.289,1979,2,13,16.289,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790213_n07_v1.1_n.bin'],north
2/15/79,16.323,1979,2,15,16.323,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790215_n07_v1.1_n.bin'],north
2/17/79,16.343,1979,2,17,16.343,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790217_n07_v1.1_n.bin'],north
2/19/79,16.291,1979,2,19,16.291,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790219_n07_v1.1_n.bin'],north
2/21/79,16.26,1979,2,21,16.26,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790221_n07_v1.1_n.bin'],north
2/23/79,16.401,1979,2,23,16.401,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790223_n07_v1.1_n.bin'],north
2/25/79,16.579,1979,2,25,16.579,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790225_n07_v1.1_n.bin'],north
2/27/79,16.551,1979,2,27,16.551,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790227_n07_v1.1_n.bin'],north
3/1/79,16.635,1979,3,1,16.635,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790301_n07_v1.1_n.bin'],north
3/3/79,16.457,1979,3,3,16.457,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790303_n07_v1.1_n.bin'],north
3/5/79,16.568,1979,3,5,16.568,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790305_n07_v1.1_n.bin'],north
3/7/79,16.547,1979,3,7,16.547,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790307_n07_v1.1_n.bin'],north
3/9/79,16.536,1979,3,9,16.536,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790309_n07_v1.1_n.bin'],north
3/11/79,16.513,1979,3,11,16.513,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790311_n07_v1.1_n.bin'],north
3/13/79,16.414,1979,3,13,16.414,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790313_n07_v1.1_n.bin'],north
3/15/79,16.31,1979,3,15,16.31,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790315_n07_v1.1_n.bin'],north
3/17/79,16.467,1979,3,17,16.467,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790317_n07_v1.1_n.bin'],north
3/19/79,16.505,1979,3,19,16.505,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790319_n07_v1.1_n.bin'],north
3/21/79,16.349,1979,3,21,16.349,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790321_n07_v1.1_n.bin'],north
3/23/79,16.279,1979,3,23,16.279,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790323_n07_v1.1_n.bin'],north
3/25/79,16.264,1979,3,25,16.264,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790325_n07_v1.1_n.bin'],north
3/27/79,16.06,1979,3,27,16.06,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790327_n07_v1.1_n.bin'],north
3/29/79,15.763,1979,3,29,15.763,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790329_n07_v1.1_n.bin'],north
3/31/79,15.804,1979,3,31,15.804,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790331_n07_v1.1_n.bin'],north
4/2/79,15.66,1979,4,2,15.66,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790402_n07_v1.1_n.bin'],north
4/4/79,15.641,1979,4,4,15.641,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790404_n07_v1.1_n.bin'],north
4/6/79,15.695,1979,4,6,15.695,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790406_n07_v1.1_n.bin'],north
4/8/79,15.794,1979,4,8,15.794,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790408_n07_v1.1_n.bin'],north
4/10/79,15.761,1979,4,10,15.761,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790410_n07_v1.1_n.bin'],north
4/12/79,15.655,1979,4,12,15.655,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790412_n07_v1.1_n.bin'],north
4/14/79,15.5,1979,4,14,15.5,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790414_n07_v1.1_n.bin'],north
4/16/79,15.454,1979,4,16,15.454,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790416_n07_v1.1_n.bin'],north
4/18/79,15.51,1979,4,18,15.51,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790418_n07_v1.1_n.bin'],north
4/20/79,15.343,1979,4,20,15.343,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790420_n07_v1.1_n.bin'],north
4/22/79,15.255,1979,4,22,15.255,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790422_n07_v1.1_n.bin'],north
4/24/79,15.224,1979,4,24,15.224,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790424_n07_v1.1_n.bin'],north
4/26/79,15.141,1979,4,26,15.141,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790426_n07_v1.1_n.bin'],north
4/28/79,15.108,1979,4,28,15.108,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790428_n07_v1.1_n.bin'],north
4/30/79,14.961,1979,4,30,14.961,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790430_n07_v1.1_n.bin'],north
5/2/79,14.626,1979,5,2,14.626,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790502_n07_v1.1_n.bin'],north
5/4/79,14.498,1979,5,4,14.498,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790504_n07_v1.1_n.bin'],north
5/6/79,14.45,1979,5,6,14.45,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790506_n07_v1.1_n.bin'],north
5/8/79,14.325,1979,5,8,14.325,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790508_n07_v1.1_n.bin'],north
5/10/79,14.149,1979,5,10,14.149,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790510_n07_v1.1_n.bin'],north
5/12/79,14.012,1979,5,12,14.012,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790512_n07_v1.1_n.bin'],north
5/14/79,13.836,1979,5,14,13.836,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790514_n07_v1.1_n.bin'],north
5/16/79,13.862,1979,5,16,13.862,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790516_n07_v1.1_n.bin'],north
5/18/79,13.691,1979,5,18,13.691,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790518_n07_v1.1_n.bin'],north
5/20/79,13.56,1979,5,20,13.56,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790520_n07_v1.1_n.bin'],north
5/22/79,13.529,1979,5,22,13.529,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790522_n07_v1.1_n.bin'],north
5/24/79,13.364,1979,5,24,13.364,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790524_n07_v1.1_n.bin'],north
5/26/79,13.399,1979,5,26,13.399,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790526_n07_v1.1_n.bin'],north
5/28/79,13.292,1979,5,28,13.292,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790528_n07_v1.1_n.bin'],north
5/30/79,13.26,1979,5,30,13.26,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790530_n07_v1.1_n.bin'],north
6/1/79,13.076,1979,6,1,13.076,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790601_n07_v1.1_n.bin'],north
6/3/79,12.977,1979,6,3,12.977,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790603_n07_v1.1_n.bin'],north
6/5/79,12.832,1979,6,5,12.832,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790605_n07_v1.1_n.bin'],north
6/7/79,12.791,1979,6,7,12.791,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790607_n07_v1.1_n.bin'],north
6/9/79,12.854,1979,6,9,12.854,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790609_n07_v1.1_n.bin'],north
6/11/79,12.733,1979,6,11,12.733,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790611_n07_v1.1_n.bin'],north
6/13/79,12.673,1979,6,13,12.673,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790613_n07_v1.1_n.bin'],north
6/15/79,12.548,1979,6,15,12.548,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790615_n07_v1.1_n.bin'],north
6/17/79,12.517,1979,6,17,12.517,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790617_n07_v1.1_n.bin'],north
6/19/79,12.415,1979,6,19,12.415,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790619_n07_v1.1_n.bin'],north
6/21/79,12.373,1979,6,21,12.373,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790621_n07_v1.1_n.bin'],north
6/23/79,12.243,1979,6,23,12.243,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790623_n07_v1.1_n.bin'],north
6/25/79,12.112,1979,6,25,12.112,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790625_n07_v1.1_n.bin'],north
6/27/79,11.977,1979,6,27,11.977,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790627_n07_v1.1_n.bin'],north
6/29/79,11.829,1979,6,29,11.829,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790629_n07_v1.1_n.bin'],north
7/1/79,11.562,1979,7,1,11.562,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790701_n07_v1.1_n.bin'],north
7/3/79,11.363,1979,7,3,11.363,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790703_n07_v1.1_n.bin'],north
7/5/79,11.255,1979,7,5,11.255,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790705_n07_v1.1_n.bin'],north
7/7/79,10.936,1979,7,7,10.936,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790707_n07_v1.1_n.bin'],north
